time,body,x,y,z,vx,vy,vz
2451545.0,Sun,-0.0071371791616079037,-0.0027959974955676118,0.0002062985061910257,0.0019644826390457604,-0.0027053761449623267,-3.445875676088211e-05
2451545.0,Mercury,-0.13723078453706011,-0.45008361563092403,-0.02439200845186075,7.8060405003819486,-2.3578336300813891,-0.90872657102603416
2451545.0,Venus,-0.72543947550699694,-0.03545030569537367,0.041220480533037243,0.29347690527598208,-7.4155340071358609,-0.11817512487635289
2451545.0,Earth,-0.18429596334551351,0.96442335496538278,0.0002051592306825703,-6.2814710997825713,-1.1583241832835764,-2.5604486300894753e-05
2451545.0,Mars,1.3835787425846791,-0.016212315647907531,-0.034261364269663232,0.2472296826965627,5.5444369891476857,0.11014384753434035
2451545.0,Jupiter,3.9940399819644492,2.9357801094705351,-0.10157897812755309,-1.6666120330073844,2.3506756190883706,0.027570961017380269
2451545.0,Saturn,6.3992716803712009,6.5671936194169893,-0.36887012773866229,-1.5658170392822013,1.4182324325549669,0.03756724323621681
2451545.0,Uranus,14.42471943522018,-13.737117466266531,-0.23793538929305921,0.98014254990525562,0.97349679976409642,-0.0090824549702432505
2451545.0,Neptune,16.80490978889128,-24.994558886780261,0.12742917842643869,0.94404440575623172,0.6463076483659278,-0.035065445630366725
2451545.0,Pluto,-9.8824894090851885,-27.96159262368592,5.8506522149927296,1.1082157291457564,-0.56438177375158516,-0.26016647694117645
2451545.0,Ceres,-2.3864648850772539,0.79269004139757193,0.46321187009640669,-1.3071748941407604,-3.8692231079055555,0.12190557567724329
2451545.0,Pallas,-0.84827562250044986,1.650943429459637,-1.0736831962947739,-4.2851701745009683,-1.5082565794093297,1.3942929265041804
2451545.0,Vesta,-1.36071761676876,-1.675932655357719,0.21510810987832699,3.5174242642133238,-2.7065546805835026,-0.34545316500480167
2451545.0,Iris,-1.177989289020531,1.802712696922304,-0.14196752478171379,-4.1633877738081315,-1.607007184563416,-0.36933085258247489
2451545.0,Bamberga,0.52842847432849405,-2.2929255528038688,-0.32570653069007399,3.6450300731025953,2.1707578964578764,0.73965220342231608
